"library","batch","total_reads","gc_content","q30_rate","human_rate","rRNA_rate","contamination_rate","error_rate","bias","insertsize","exonic","intronic","intergenic","type"
"Y3_14_b_3","Y",37655595,47,0.944125,98.76956468,0.24,0.335,0.01,0.99,288,0.4430543570735,0.503487759896864,0.0534578830296358,"b"
"Y3_15_c_3","Y",49810760,48,0.946686,98.75781355,0.475,0.445,0.01,0.99,283,0.434820801876914,0.511399675550234,0.0537795225728521,"c"
"Y3_16_d_3","Y",45224980,47,0.942203,98.80163618,0.17,0.32,0.01,0.96,291,0.423383390184255,0.525052515710668,0.0515640941050766,"d"
"Y3_17_e_3","Y",38513738,47.5,0.941276,98.986334,0.045,0.57,0.01,1.02,291,0.462233957822995,0.477454020267532,0.060312021909473,"e"
"Y3_18_f_3","Y",35859456,46.5,0.94682,98.4134224,0.065,0.805,0.01,0.95,290,0.460190789441363,0.48439564920486,0.0554135613537772,"f"
"Y3_2_b_1","Y",38342380,48.5,0.945821,98.73975268,0.275,0.315,0.01,0.95,284,0.45525777656026,0.494174518852487,0.0505677045872534,"b"
"Y3_3_c_1","Y",42542533,47.5,0.943568,98.76505533,0.205,0.365,0.01,0.96,288,0.435510698336797,0.51428488350825,0.0502044181549531,"c"
"Y3_4_d_1","Y",42788836,47.5,0.945804,98.80581172,0.125,0.305,0.01,0.97,285,0.427496830573018,0.521328386992254,0.0511747824347278,"d"
"Y3_5_e_1","Y",39695358,47,0.944664,98.94811577,0.12,0.62,0.01,1.04,286,0.45522456825428,0.484431450168088,0.0603439815776321,"e"
"Y3_6_f_1","Y",36871486,47.5,0.948599,98.47032986,0.175,1.07,0.01,1.03,288,0.47742549128624,0.468457597824633,0.0541169108891276,"f"
"Y3_7_a_2","Y",35431266,48,0.947727,98.92321712,0.175,0.425,0.01,0.97,282,0.474239853681009,0.475283985113076,0.0504761612059154,"a"
"Y3_8_b_2","Y",35217742,47,0.9459,98.74710125,0.165,0.33,0.01,1.02,286,0.442294954736999,0.506538223787142,0.0511668214758592,"b"
"Y3_9_c_2","Y",35639012,48,0.94153,98.79992374,0.245,0.36,0.01,0.97,292,0.440604586889654,0.508161221454229,0.0512341916561165,"c"
"Y4_1_a_1","Y",43205621,49.5,0.94715,98.91494655,0.15,0.465,0.01,0.97,279,0.494438069129082,0.455330614495316,0.0502313163756022,"a"
"Y4_10_d_2","Y",38355239,47.5,0.927567,98.68580195,0.465,0.29,0.01,0.99,289,0.419962597899463,0.525397352706923,0.0546400493936137,"d"
"Y4_11_e_2","Y",39386418,49.5,0.942834,98.85223878,0.1,0.68,0.01,1.03,287,0.4809380453171,0.457223606097339,0.0618383485855612,"e"
"Y4_12_f_2","Y",33042284,47.5,0.948773,98.17616572,0.11,0.805,0.01,0.96,289,0.47577127939066,0.470889379303447,0.0533393413058926,"f"
"Y4_13_a_3","Y",35526644,49.5,0.944846,98.76600036,0.135,0.39,0.01,0.96,281,0.487005212344394,0.462070656074866,0.05092413158074,"a"
"Y4_14_b_3","Y",38208930,49.5,0.948324,98.45342235,0.235,0.335,0.01,0.97,274,0.469064231720306,0.477491917661025,0.0534438506186684,"b"
"Y4_15_c_3","Y",35806313,49.5,0.946096,98.5494773,0.21,0.375,0.01,0.98,276,0.455279754854463,0.490702522323445,0.0540177228220913,"c"
"Y4_16_d_3","Y",36726780,48.5,0.9463,98.61170826,0.195,0.345,0.01,0.98,282,0.441059744767992,0.506532310072607,0.0524079451594008,"d"
"Y4_17_e_3","Y",38674194,49.5,0.944893,98.80501458,0.265,0.58,0.01,1.01,283,0.476532561291029,0.463207496690302,0.060259942018669,"e"
"Y4_18_f_3","Y",39632481,48,0.948699,98.22084449,0.17,0.85,0.01,1.02,283,0.480877060853739,0.465140679408839,0.0539822597374222,"f"
"Y4_2_b_1","Y",50021997,50,0.946738,98.68452253,0.195,0.305,0.01,1.01,275,0.469547232775586,0.474147354090108,0.0563054131343061,"b"
"Y4_3_c_1","Y",40359550,49.5,0.94489,98.57279933,0.125,0.34,0.01,0.94,285,0.448109139902389,0.495318994219297,0.0565718658783135,"c"
"Y4_4_d_1","Y",32686265,48.5,0.944776,98.52985265,0.145,0.335,0.01,0.95,279,0.437545059797575,0.508384778541122,0.0540701616613028,"d"
"Y4_5_e_1","Y",44489460,49.5,0.94758,98.80197334,0.095,0.625,0.01,1.03,263,0.482331035087107,0.455578273610328,0.0620906913025649,"e"
"Y4_6_f_1","Y",40480529,48.5,0.953471,98.33651775,0.23,0.955,0.01,1.03,267,0.490630019857023,0.454979838044131,0.0543901420988465,"f"
"Y4_7_a_2","Y",38298545,49.5,0.946076,98.75301831,0.175,0.41,0.01,1.01,274,0.479230843781302,0.465447398429966,0.0553217577887321,"a"
"Y4_8_b_2","Y",37199186,50,0.946467,98.47824084,0.28,0.32,0,0.98,271,0.46898459151602,0.473647984061644,0.0573674244223368,"b"
"Y4_9_c_2","Y",41675630,49.5,0.944062,98.7757897,0.165,0.325,0.01,0.97,281,0.452361722142511,0.494836797474227,0.0528014803832625,"c"
"Y5_1_a_1","Y",42603823,48,0.945422,98.68183133,0.18,0.4,0,1,292,0.476251455695092,0.47642025135281,0.0473282929520981,"a"
"Y5_10_d_2","Y",41453845,47.5,0.949067,98.47617158,0.13,0.375,0.01,0.97,280,0.430016404458878,0.518402886026769,0.051580709514354,"d"
"Y5_11_e_2","Y",37374785,48,0.951793,98.49992505,0.09,0.68,0.01,1.08,285,0.465099556489422,0.474789329818887,0.0601111136916909,"e"
"Y5_12_f_2","Y",44280243,47,0.951619,97.85800368,0.07,1.055,0,1.07,280,0.473628145112596,0.471920039988042,0.0544518148993626,"f"
"Y5_13_a_3","Y",42555243,48,0.950681,98.47004176,0.195,0.475,0.01,1.02,279,0.476988165311146,0.472787000024424,0.0502248346644305,"a"
"Y5_14_b_3","Y",44920623,48.5,0.949761,98.16022587,0.16,0.365,0,1.02,278,0.45624611982623,0.486837468005131,0.0569164121686387,"b"
"Y5_15_c_3","Y",40338041,48.5,0.946925,98.34748502,0.15,0.37,0,1.03,282,0.447142886037483,0.497752233744165,0.0551048802183516,"c"
"Y5_16_d_3","Y",34947698,48,0.947267,98.47772666,0.19,0.385,0.01,1,284,0.436213657885686,0.510545774966577,0.0532405671477372,"d"
"Y5_17_e_3","Y",37485179,48,0.952014,98.46833643,0.075,0.64,0.01,1.09,277,0.474061301031618,0.466112255290016,0.0598264436783663,"e"
"Y5_18_f_3","Y",33238856,47,0.952518,97.87414184,0.08,1.1,0.01,1.05,282,0.470858207154879,0.474483578644851,0.0546582142002704,"f"
"Y5_2_b_1","Y",40159793,47,0.939246,98.35783475,0.115,0.335,0.01,1.05,308,0.446765495795655,0.502391501380723,0.0508430028236221,"b"
"Y5_3_c_1","Y",32524678,48,0.939822,98.26407393,0.085,0.41,0.01,1.01,302,0.440235375627983,0.509550701485186,0.0502139228868314,"c"
"Y5_4_d_1","Y",33104305,46,0.934558,98.25265939,0.1,0.375,0.01,1.05,314,0.414196148693995,0.535734548551684,0.0500693027543212,"d"
"Y5_5_e_1","Y",43484855,48,0.942559,98.56971047,0.075,0.655,0.01,1.08,299,0.464845821145477,0.475070804611281,0.0600833742432426,"e"
"Y5_6_f_1","Y",42995103,46,0.948379,98.03758685,0.065,1.055,0.01,1.05,303,0.46243058978676,0.482153012950598,0.0554163972626417,"f"
"Y5_7_a_2","Y",39324329,48.5,0.949424,98.69884834,0.1,0.465,0.01,1.04,299,0.47870042175293,0.467044176772752,0.0542554014743179,"a"
"Y5_8_b_2","Y",40886131,47.5,0.947785,98.52883885,0.105,0.33,0,1.02,304,0.453171776981409,0.493319744429018,0.0535084785895735,"b"
"Y5_9_c_2","Y",40816319,47.5,0.94999,98.46850215,0.16,0.43,0,1.03,280,0.439808519242529,0.510777719162489,0.0494137615949827,"c"
"X1_1_a_1","X",36797953,46,0.94389,98.95298521,0.01,0.425,0.01,1.04,286,0.452644431778625,0.495983107707491,0.0513724605138837,"a"
"X1_10_d_2","X",40396740,45,0.945488,98.83592955,0,0.4,0.01,1,287,0.395857785990165,0.550241360364965,0.0539008536448695,"d"
"X1_11_e_2","X",35965963,46,0.948893,98.93134229,0.01,0.635,0.01,1.03,276,0.438343365124238,0.496265184872687,0.0653914500030745,"e"
"X1_12_f_2","X",40310224,45,0.948051,98.49366108,0.01,0.995,0.01,1.02,287,0.449663230976607,0.493638641224856,0.0566981277985371,"f"
"X1_13_a_3","X",34451478,46,0.946256,98.93307725,0.005,0.35,0.01,0.96,287,0.446039616625155,0.500804710648551,0.0531556727262947,"a"
"X1_14_b_3","X",36613647,46,0.949396,98.77139454,0.01,0.35,0.01,1.06,286,0.42861043178926,0.516659429986576,0.0547301382241647,"b"
"X1_15_c_3","X",46717001,46,0.944492,98.71398482,0,0.335,0.01,1.03,300,0.414034295785994,0.535211089035393,0.050754615178613,"c"
"X1_16_d_3","X",33787178,45,0.950627,98.85549829,0,0.33,0.01,0.96,288,0.397577867613983,0.547936211701084,0.0544859206849338,"d"
"X1_17_e_3","X",34196081,46,0.947323,98.94539506,0.01,0.62,0.01,1.07,286,0.440791615299866,0.499053813293796,0.0601545714063377,"e"
"X1_18_f_3","X",41896972,45,0.949111,98.49639173,0,0.99,0.01,1.01,284,0.450178841427791,0.494688523406367,0.055132635165842,"f"
"X1_2_b_1","X",40003461,45,0.94946,98.78331134,0.01,0.3,0.01,1.03,282,0.426537581852931,0.520297995147135,0.0531644229999339,"b"
"X1_3_c_1","X",34882307,46,0.947752,98.8428785,0.005,0.33,0.01,1.01,281,0.411892371183851,0.53221061931464,0.0558970095015089,"c"
"X1_4_d_1","X",34487155,46,0.948225,98.86358872,0.015,0.305,0.01,0.99,284,0.409556908670875,0.535567200048107,0.0548758912810183,"d"
"X1_5_e_1","X",44819649,47,0.948904,98.92319103,0,0.565,0.01,1.03,283,0.441484070351677,0.492388929805128,0.0661269998431952,"e"
"X1_6_f_1","X",38550888,44.5,0.951942,98.47827327,0,1,0.02,0.91,283,0.44201296672947,0.50135730873226,0.0566297245382705,"f"
"X1_7_a_2","X",36034130,47,0.946981,98.93407959,0.015,0.39,0.01,1.04,294,0.448882784711929,0.494924329886142,0.0561928854019295,"a"
"X1_8_b_2","X",35118419,46,0.945779,98.7777083,0.01,0.27,0.01,1,285,0.428598400011254,0.516613927338987,0.0547876726497587,"b"
"X1_9_c_2","X",36127506,46,0.946237,98.82214501,0.01,0.33,0.01,1.02,293,0.412265273837978,0.536436437090913,0.0512982890711082,"c"
"X2_1_a_1","X",42876874,45,0.945764,98.83797853,0.005,0.445,0.01,1.04,286,0.450106487273122,0.505225238644122,0.044668274082756,"a"
"X2_10_d_2","X",38756664,45,0.94789,98.75415884,0.01,0.36,0.01,0.95,293,0.401374693393736,0.549407419589395,0.0492178870168688,"d"
"X2_11_e_2","X",38930024,46,0.94888,98.83711735,0.005,0.625,0.01,1.08,294,0.441052912779047,0.497742435406044,0.0612046518149083,"e"
"X2_12_f_2","X",43875664,44,0.949973,98.38183053,0,0.99,0.02,0.99,296,0.440665032478134,0.503620436176712,0.0557145313451532,"f"
"X2_13_a_3","X",38433157,46,0.94597,98.85279948,0,0.42,0.01,0.99,288,0.449796945337573,0.498797538649601,0.0514055160128259,"a"
"X2_14_b_3","X",45688121,46,0.948821,98.66959288,0.01,0.335,0.01,1.01,289,0.429583893592692,0.516342933342955,0.0540731730643528,"b"
"X2_15_c_3","X",45604950,46,0.944759,98.68821917,0.01,0.375,0.01,0.98,292,0.411533956914989,0.535740019989403,0.0527260230956078,"c"
"X2_16_d_3","X",35648522,45,0.945109,98.76835757,0.005,0.37,0.02,0.98,290,0.399816416278955,0.550252749298771,0.0499308344222733,"d"
"X2_17_e_3","X",44652052,46,0.947489,98.83637,0.01,0.605,0.02,1.05,291,0.442954291797313,0.498686295598884,0.0583594126038029,"e"
